area,perimeter,circularity,eccentricity,solidity,extent,hu_moment_1,hu_moment_2,hu_moment_3,mean_b,mean_g,mean_r,mean_h,mean_s,mean_v,texture_laplacian_var,color_std_b,color_std_g,color_std_r,color_std_hsv,det_confidence,predicted_label
601.5,304.6101726293564,0.08146230420810845,,0.297624938149431,0.27821461609620723,0.0,0.0,0.0,227.85577942735952,215.36691410392368,240.69353128313895,153.71686108165432,27.208907741251327,240.76139978791093,385.5566652061809,12.291544395598638,15.935748767489175,12.342257310791963,42.84517246692902,0.951850175857544,RBC
685.0,296.02438592910767,0.09823029713386018,,0.2864311101818942,0.25483630952380953,0.0,0.0,0.0,228.6933575978162,217.45222929936307,241.26842584167426,161.23111919927206,25.878070973612378,241.57142857142858,509.9161861359126,12.110413386189906,16.5649311658627,12.46628991834431,30.67801161210742,0.9385128617286682,RBC
592.0,224.22539591789246,0.14796601298460382,,0.3368421052631579,0.2624113475177305,0.0,0.0,0.0,227.46041666666667,216.11041666666665,241.92499999999998,155.35104166666667,27.855208333333334,242.03229166666665,316.74608431888487,11.392362931355473,15.717568985895651,11.978305041476721,43.156796236687114,0.926400363445282,RBC
570.5,291.78174459934235,0.08420721022277705,,0.2831968230330107,0.2641203703703704,0.0,0.0,0.0,225.3194888178914,212.46645367412142,240.6964856230032,137.84025559105433,30.665601703940364,240.77316293929715,407.2081016375172,12.744985998787913,18.29086066616866,12.618195122086089,60.892929988779315,0.9116065502166748,RBC
1190.5,354.55129742622375,0.11900935621436272,,0.255116254151934,0.19452614379084968,0.0,0.0,0.0,228.39941262848754,213.8095937347039,234.97552618697995,129.90357317670095,27.351933431228588,238.02202643171807,1077.922041794337,18.911728890313846,27.089497723523323,23.733105398983717,61.09310998848003,0.8792654871940613,RBC
935.5,332.6101725101471,0.10626312923587039,,0.3942267172355668,0.3743497398959584,0.0,0.0,0.0,227.62375478927203,217.7402298850575,242.21149425287356,139.12950191570883,26.515708812260538,242.2521072796935,417.52839367039337,9.93342835723787,14.29837860033416,10.091596883163032,62.03654289643471,0.8746365904808044,RBC
523.5,271.1543279886246,0.08947330268293413,,0.24577464788732395,0.21384803921568626,0.0,0.0,0.0,230.3972392638037,215.98926380368098,239.11503067484662,145.4631901840491,26.04601226993865,239.76073619631902,388.2559230357448,12.952847179174443,19.916964315783027,14.037546753763271,46.49817129071861,0.8650842905044556,RBC
654.5,253.49747395515442,0.1279888812210562,,0.33005547150781644,0.28419452887537994,0.0,0.0,0.0,229.08190091001012,216.9929221435794,240.23660262891812,141.29423660262893,25.218402426693633,240.28210313447929,479.8493346951219,12.287439064865788,17.20902690838367,12.570313262425234,55.86792327001408,0.8338586688041687,RBC
3146.0,590.1076449155807,0.11352881382867551,,0.35831435079726653,0.3346808510638298,0.0,0.0,0.0,230.69784382284382,221.82925407925407,240.12004662004662,133.55273892773891,21.678613053613052,241.38898601398603,1040.952516930738,13.288944877489735,20.01754724765001,17.240082287908717,64.34247051762773,0.8156415224075317,WBC
1128.0,317.8822492361069,0.1402769805285513,,0.38360822989287535,0.3533834586466165,0.0,0.0,0.0,231.42175273865416,223.42253521126761,242.2057902973396,134.83489827856025,20.622065727699532,242.32785602503913,205.35653268117034,8.197755106746726,11.671019677044859,8.712629885637282,63.72854306757275,0.8023933172225952,RBC
2386.0,196.48528122901917,0.7766408996892377,,0.9958263772954925,0.954781912765106,0.0,0.0,0.0,229.7915224913495,219.3589965397924,241.80103806228374,143.50173010380624,24.70415224913495,242.22318339100346,339.5307299390344,10.232452146029045,15.409632105369205,11.93038627075777,56.65743442743833,0.7891167998313904,RBC
866.5,285.29646348953247,0.13377829440317107,,0.3326934152428489,0.27639553429027114,0.0,0.0,0.0,230.7243195785777,219.4091308165057,242.6163301141352,139.23353819139595,25.2756804214223,242.80684811237927,361.9012216346289,11.220490957962982,15.660448411831029,11.371966836379867,59.48925046463269,0.78526771068573,RBC
782.0,289.68123984336853,0.11710511795645788,,0.33882149046793764,0.313930148534725,0.0,0.0,0.0,225.32924836601308,214.41748366013073,239.4109477124183,153.89705882352942,27.143790849673202,239.53676470588235,334.97624382340854,11.606367734311453,16.436291789381226,11.913985482710364,46.09909606506561,0.7841139435768127,RBC
799.5,294.9533175230026,0.11548398495615418,,0.35628342245989303,0.3416666666666667,0.0,0.0,0.0,228.72711111111113,219.2711111111111,242.3448888888889,146.76533333333333,24.91911111111111,242.40800000000002,306.20340054058005,10.120571925477602,13.78728274287935,9.317519131476582,54.20927389294197,0.7802530527114868,RBC
575.5,177.01219356060028,0.23080691919497506,,0.4485580670303975,0.3914965986394558,0.0,0.0,0.0,231.5166816952209,220.98917944093776,242.00721370604145,136.64562669071233,22.831379621280433,242.18485121731288,303.55162865027756,9.947877751869,13.550023213383076,9.96141982061379,60.26526671863799,0.7605581283569336,RBC
560.5,202.66904664039612,0.17147887744291546,,0.3908647140864714,0.2833670374115268,0.0,0.0,0.0,231.74521531100478,222.0933014354067,242.58732057416267,151.07775119617224,22.37200956937799,243.02033492822966,515.5000753996694,9.938851973047889,12.218246732463575,9.204262690316472,45.04532467776935,0.7521940469741821,RBC
568.0,287.88224959373474,0.08612483924180407,,0.2927835051546392,0.2743961352657005,0.0,0.0,0.0,231.93186813186813,219.02857142857144,241.86153846153846,147.27142857142857,25.45824175824176,242.43846153846152,599.0744708161218,12.325073872420917,16.49413006286213,11.790224757439457,46.17387060373662,0.7382701635360718,RBC
524.0,219.396968126297,0.136798050266002,,0.3317505539727762,0.27724867724867724,0.0,0.0,0.0,226.6753585397653,215.35071707953063,239.29204693611473,130.58670143415907,26.889178617992176,239.47457627118644,457.31817838246405,11.640987934862356,18.74319197064654,13.393190464919451,65.058513271465,0.7116060256958008,RBC
550.0,197.59797883033752,0.17701397616449177,,0.37187288708586885,0.2925531914893617,0.0,0.0,0.0,227.9295101553166,216.81242532855435,242.40143369175627,143.05973715651135,27.882915173237752,242.4731182795699,315.6041479969082,10.0208171077396,16.85164555516952,10.682622378592068,57.7866447546301,0.6225719451904297,RBC
673.5,265.154328584671,0.12037880327226316,,0.34914463452566097,0.31238404452690166,0.0,0.0,0.0,231.56736842105263,221.07999999999998,242.78421052631577,159.83052631578948,23.30421052631579,242.89684210526315,440.5205327239684,10.258921068798847,14.59191989821043,10.212003420015854,31.700601268361194,0.5636125802993774,RBC
576.5,265.0954524278641,0.103087170693483,,0.3070572569906791,0.27877176015473887,0.0,0.0,0.0,226.18809980806142,211.20345489443378,238.75239923224566,144.41842610364682,30.733205374280228,239.05950095969288,535.5502667524665,13.1680097306476,19.29587953295886,12.852034014613505,50.479253698453114,0.5566918253898621,RBC
1180.0,325.5391033887863,0.13992185216640832,,0.3513996426444312,0.3389830508474576,0.0,0.0,0.0,228.2265566391598,220.81995498874718,241.32933233308327,145.37509377344335,22.40060015003751,241.4298574643661,230.78807621560503,8.521434071263359,11.227203766926142,9.015965796249569,57.43731018236496,0.5544953942298889,RBC
348.5,93.8406194448471,0.4973142625870602,,0.8133022170361727,0.5280303030303031,0.0,0.0,0.0,226.72459893048128,210.51960784313724,236.94474153297682,149.06951871657753,29.776292335115862,237.35204991087343,541.9628752670465,13.608214891736461,22.273219745914105,13.82674092776893,43.58596907405952,0.39944911003112793,RBC
