area,perimeter,circularity,eccentricity,solidity,extent,hu_moment_1,hu_moment_2,hu_moment_3,mean_b,mean_g,mean_r,mean_h,mean_s,mean_v,texture_laplacian_var,color_std_b,color_std_g,color_std_r,color_std_hsv,det_confidence,predicted_label
12579.0,585.3969686031342,0.4612698224672325,,0.9292996453900709,0.9132423406417889,0.0,0.0,0.0,206.2427873094987,188.83906834084155,194.7157097670852,114.85689638646602,31.192849611808683,208.98159685612958,433.9437984707775,37.37778771731371,45.57854218479777,34.46131412890899,36.55364835317057,0.858492910861969,WBC
3421.0,234.48528134822845,0.7818649843128047,,0.9985405720957384,0.9582633053221289,0.0,0.0,0.0,247.71808510638297,240.98581560283688,233.46808510638297,108.28427895981088,15.934397163120567,248.18735224586288,192.6011709781952,10.817870213444596,12.019430181009547,9.3767126598192,17.64424279124266,0.37930843234062195,Platelets
2328.5,195.0710676908493,0.7689540421950161,,0.9893775228383259,0.9373993558776168,0.0,0.0,0.0,247.84239130434784,241.99673913043478,235.98913043478262,110.84239130434783,13.691304347826087,248.2891304347826,153.9698066012172,9.673593973731792,10.808460364625768,8.314987209090258,19.633715088966404,0.3690367043018341,Platelets
3550.0,242.0,0.7617412690556495,0.0,1.0,0.9667755991285403,0.0,0.0,0.0,249.81730187537812,243.78100423472478,236.29764065335755,107.02419842710225,14.610405323653964,250.08045977011497,85.70043543319046,8.059774613958291,9.127076366967218,7.456571615240152,15.306251210269185,0.355947881937027,Platelets
2289.5,190.24264061450958,0.7949407880819471,,0.9989092495636999,0.9551522736754277,0.0,0.0,0.0,250.596214511041,244.69716088328076,237.19873817034699,106.44085173501577,14.212145110410095,250.75788643533122,94.084881863698,6.780658952329194,7.961347365636344,6.97380848008706,14.088794680601673,0.2551632970571518,Platelets
2415.5,202.72792184352875,0.7385667788061544,,0.969496287377082,0.9128873771730914,0.0,0.0,0.0,246.6921381337252,240.07053637031592,233.208670095518,111.99412196914032,15.746509919177075,247.25936811168256,70.58227396106675,10.180660732958899,11.002011321977102,8.332753539643514,20.99980674092791,0.29558801651000977,Platelets
1821.5,169.89949464797974,0.7929665458084054,,0.9896767182830752,0.9208796764408493,0.0,0.0,0.0,250.1423076923077,244.30096153846156,237.25192307692308,107.22884615384616,13.932692307692308,250.39615384615385,112.23596185952454,7.803040486143998,8.82526961009285,7.132131798703866,15.187404150232034,0.2943836748600006,Platelets
2466.5,197.55634891986847,0.7941618147171787,,0.9893702366626554,0.932161753590325,0.0,0.0,0.0,247.84073506891272,241.02833078101074,233.78790199081166,109.00229709035223,15.532924961715162,248.16079632465545,109.81683043587807,9.2331910473877,11.136627198605588,9.960267500246092,16.878563502340743,0.2932375967502594,Platelets
2250.0,190.0,0.783222545216292,0.0,1.0,0.959079283887468,0.0,0.0,0.0,250.33270142180095,244.6691943127962,237.89857819905214,106.85781990521328,13.240758293838862,250.48151658767773,115.3788467646223,6.951028550911757,8.559883775574413,7.967597166872404,13.925756864598997,0.2839808166027069,Platelets
2640.0,206.0,0.7817706292277362,0.0,1.0,0.9620991253644315,0.0,0.0,0.0,250.41987829614604,244.64705882352942,237.32724814063556,106.4259634888438,13.968897903989182,250.63015551048005,116.71596815527545,7.408958613305036,8.148792296597792,6.347584331256687,14.225500700640637,0.25974375009536743,Platelets
2139.0,183.65685415267944,0.7969046601628279,,0.9979006298110566,0.9506666666666667,0.0,0.0,0.0,250.32260869565218,244.26956521739132,236.67739130434782,106.50260869565217,14.487826086956522,250.4921739130435,85.25066350617286,6.983042327755771,8.333506740476832,7.631246531824902,13.980591894352905,0.2081657275557518,Platelets
894.0,235.25483345985413,0.20298795706977452,,0.4493591354611711,0.42754662840746055,0.0,0.0,0.0,250.46123260437372,244.9393638170974,237.6500994035785,106.20079522862822,13.621272365805167,250.63021868787274,115.63628961633528,6.82469991268345,7.947973296114453,6.619360947548943,14.37282058381755,0.24044473469257355,Platelets
827.0,281.8822501897812,0.13079161854064594,,0.4071885770556376,0.3745471014492754,0.0,0.0,0.0,247.45881126173097,241.0104275286757,233.96663190823776,110.27945776850886,15.469238790406674,247.97393117831075,112.86474004279562,10.040487539772549,11.107583470655252,8.633115922592088,19.56351398856695,0.23727943003177643,Platelets
465.5,186.6690467596054,0.16787457643004855,,0.35198487712665405,0.2405684754521964,0.0,0.0,0.0,244.63343403826786,237.7200402819738,232.43504531722056,115.79657603222557,15.254783484390735,245.40584088620344,95.67853510771364,11.577079570844155,12.523177754302209,9.803407982916825,22.796859122684562,0.23596280813217163,Platelets
555.5,189.8406196832657,0.19369376526428614,,0.4075568598679384,0.2936046511627907,0.0,0.0,0.0,244.38692810457513,236.91764705882352,230.28888888888886,113.25882352941176,16.96732026143791,245.1424836601307,117.1872410032183,12.695708156544017,13.779961380212152,11.14427990416723,22.091986922810186,0.22280514240264893,Platelets
1133.0,300.9949485063553,0.1571525237332223,,0.39768339768339767,0.2724867724867725,0.0,0.0,0.0,243.60226468506724,237.33121019108282,232.29228591648973,113.54069355980184,15.176220806794056,244.82944090587404,232.3016773590367,15.855872274969517,16.58777493102894,11.671072444310616,25.725742119264808,0.19689727574586868,RBC
2433.5,347.43859922885895,0.2533291020839225,,0.6739130434782609,0.6151415571284126,0.0,0.0,0.0,249.98921417565487,243.0762711864407,234.02234206471496,104.80161787365178,16.598228043143298,250.12057010785824,58.94360539237989,6.175018574076054,7.510006121909038,6.842401118492743,11.360984536892389,0.15223702788352966,RBC
2027.0,181.3137083053589,0.7748226932349944,,0.9902296042989741,0.9427906976744186,0.0,0.0,0.0,247.32804757185332,240.61149653121902,233.3548067393459,109.77304261645193,15.790882061446977,247.77898909811694,153.78718788534343,10.086956725881612,11.6971914598252,10.112105962868252,18.518012198321205,0.20493176579475403,Platelets
